Tjänstekategori;Tjänstegrupp;Tjänst;Sign. Tj.Äg;Tj.nr;SV;PV;TV;Produkter/Aktiviteter;Beskrivning;Prismodell;Debiteringsintervall;Pris;Volym;Årsintäkt HK;Tjänsteägare;Processledare;Samverkan;KPI:er;Processbeskrivning (J/N);Processen dokumenterad (J/N)
Praktikerservice;Inköpstjänster ;Inköpssupport ej centralt upphandlade avtal;Ja;;Plus;Plus;Plus;;Stöd i frågor med leverantör vid köp för ej centralt upphandlade avtal;Fast pris per timme;;1 000 kr;?;#VÄRDEFEL!;Göran Adamsson;;;;;
Aktieägarskydd;IT-tjänster;Informations- och personuppgiftssäkerhet;Ja;;Bas;Bas;Bas;;Säkerställer funktion och efterlevnad i IT-system för den koncerngemensamma IT-leveransen;Fast avgift per ägare;;;;;Anders Hedenros;;;;;
Företagsgemensamt;IT-Tjänster;BI (Business Intellegence);Ja;;Bas;Bas;Bas;Månadsrapport, Kvalitetsbokslut, gemensamma ekonomi- och produktions- rapporter.;Stödfunktion till koncernens affärsverksamhet med IT-relaterad kompetens inom affärsanalys. Leverans av arkitektur, test, implementation.Framtagande av rapporter och förvaltning av BI-verktyg. ;Fast pris per månad;;;;;Leif Augustsson;;;;;
Företagsgemensamt;IT-Tjänster;Koncerngemensam IT;Ja;;Bas;Bas;Bas;IT-serverdrift ;Server, minne, disk, operativsystem, virusskydd, backup, åtkomst och en lämplig servicenivå (SLA).;Fast pris per månad;;;;0;Pär Hårdberg;;;;;
Företagsgemensamt;IT-Tjänster;Koncerngemensam IT;Ja;;Bas;Bas;Bas;TESS Arbetsplatsdrift ;Infrastruktur för arbetsplatsdrift.Tjänsten omfattar dator, och i förekomande fall dockningsstation, bildskärm, tangentbord och mus. Tjänsten omfattar även operativsystem, virusskydd, internet, mail/kalender och standardapplikationer. Tjänsten omfattar även säker åtkomst, hemkatalog och gemensamma kataloger som säker-hetskopieras, central säkerhets-uppdatering, central programdistribution,  support och service på plats samt 36 månaders livcykelhantering. ;Fast pris per månad;;870 kr;1008;876960;Pär Hårdberg;;;;;
Företagsgemensamt;IT-Tjänster;Koncerngemensam IT;Ja;;Bas;Bas;Bas;IT-nätdrift  ;Nätverksanslutning till Praktikertjänst och internet för data och telefoni med lämplig servicenivå (SLA);Fast pris per månad;;;;0;Pär Hårdberg;;;;;
Företagsgemensamt;IT-Tjänster;Koncerngemensam IT;Ja;;Bas;Bas;Bas;Integrationer;Arkitektur/strategi och produktionlösning för infrastruktur i leveransplattformen;Fast pris per månad;;;;0;Pär Hårdberg;;;;;
Företagsgemensamt;IT-Tjänster;Koncerngemensam IT;Ja;;Bas;Bas;Bas;Katalogtjänst;Livscykel för Användarkonto (IAM) till den koncerngemensamma tjänsteleveransen , med bl.a. underlag till eTjänstekort (HSA).E-postadress. Information på1177.se enligt affärlogik.Underlag till behörighetshantering. viss Informationsförsörjning till Intranät och Koncernwebb;Fast pris per månad;;;;0;Pär Hårdberg;;;;;
Företagsgemensamt;IT-Tjänster;Koncerngemensam IT;Ja;;Bas;Bas;Bas;Applikationsutveckling och förvaltning;Vidareutveckling i befintliga system/applikationer och stöd i att upphandla, sätta upp och konfigurera nya system/applikationer utifrån verksamhetsnytta.;Fast pris per månad;;;;0;Anna Blom;;;;;
Företagsgemensamt;IT-Tjänster;Koncerngemensam IT;Ja;;Bas;Bas;Bas;Växeltjänst;Tjänsten omfattar Telefoniväxel-funktioner från vår leverantör Tele2. ;Fast pris per månad;;;;0;Pär Hårdberg;;;;;
;;Praktikerservice;Ja;;Plus;Plus;Plus;Växeltjänst verksamhet;Tjänsten omfattar Telefoniväxel-funktioner från vår leverantör Tele2. ;Enligt offert;;;;0;Pär Hårdberg;;;;;
Företagsgemensamt;IT-Tjänster;Koncerngemensam IT;Ja;;Bas;Bas;Bas;Inloggningsportal;SingleSignOn (SSO), Säkerhet vid autentisering (LOA) & Spårbarhet (SIEM);Fast pris per månad;;;;0;Pär Hårdberg;;;;;
Företagsgemensamt;IT-Tjänster;Koncerngemensam IT;Ja;;Bas;Bas;Bas;HSA/EK administration;En katalogtjänst för att ge våra medarbetare rättigheter i journalsystem samt till gång till Inera AB's stödsystem samt grund för 1177 tjänsten. ;Fast pris per månad;;;;0;Pär Hårdberg;;;;;
Praktikerservice;IT-tjänster;E-tjänstekort;Ja;;Plus;Plus;Plus;E-tjänstkort Tandvård SLL och Frenda;Praktikertjänst E-Tjänstekort till tandvårdpersonal (inom SLL) även för dem som använder FRENDA.;Fast pris per styck;;550 kr;;1800000;Tomas Esping;Joen Hägglöf;;;;
Praktikerservice;IT-tjänster;E-tjänstekort;Ja;;Plus;Plus;Plus;E-tjänstekort Telia;Telias E-Leg som används utanför SLL för både tandvård och hälso & sjukvård.;Fast pris per styck;;495 kr;;0;Tomas Esping;Joen Hägglöf;;;;
Praktikerservice;IT-tjänster;E-tjänstekort;Ja;;Plus;Plus;Plus;E-tjänstekort Hälso-&Sjukvård SLL;SLL’s E-tjänstekort som utfärdas på Praktikertjänst uppdrag.;Fast pris per styck;;1 000 kr;;0;Tomas Esping;Joen Hägglöf;;;;
Praktikerservice;IT-tjänster;E-tjänstekort;Ja;;Plus;Plus;Plus;Reservkort för alla verksamheter (giltigt max 3 månader);Tjänsten omfattar att aktivera och lämna ut reservkort enligt rutin.;Fast pris per styck;;200 kr;;0;Tomas Esping;Joen Hägglöf;;;;
;;FunktionsCertifikat;Ja;;Bas;Bas;Bas;Beställa FunktionsCertifikat;;;;;;0;;;;;;
;;FunktionsCertifikat;Ja;;Bas;Bas;Bas;Förnya Funktionscertifikat;;;;;;0;;;;;;
;;FunktionsCertifikat;Ja;;Bas;Bas;Bas;Avsluta Funktionscertifikat;;;;;;0;;;;;;
Praktikerservice;IT-tjänster;E-tjänstekort;Ja;;Plus;Plus;Plus;Avsluta E-tjänstekort;Tjänsten omfattar att avregistrera e-tjänstekortet i SITHS och genomförs centralt.;Fast pris per styck;;;;0;;;;;;
Praktikerservice;IT-tjänster;IT Konsult;Ja;;Plus;Plus;Plus;Installalationer, utbildning, projektledning;;Fast pris per timme;;650 kr;1000;650000;Pär Hårdberg;;;;;
Praktikerservice;IT-tjänster;IT support Bas;Ja;;Bas;Bas;Bas;;"Tjänsten ""first line support"" ingår i TESS arbetsplats. ";Fast pris per månad ;;;;0;Tomas Esping;Joen Hägglöf;;;;
Praktikerservice;IT-tjänster;IT support Plus;Ja;;Plus;Plus;Plus;;Support på plats i verksamheten;Fast pris per timme;;650 kr;;0;;;;;;
Praktikerservice;IT-tjänster;IT-Backup och restore;Ja;;Plus;Plus;Plus;PTJ Backup och restore;Tjänsten omfattar att ta backup på lokala journal- och röntgensystem.;Fast pris per månad ;;;;2 500 000;Pär Hårdberg;;;;;
;;;;;;;;;;;;;;0;;;;;;
Affärsrådgivning;Juridik;Affärsjuridiskt avtalsstöd;Ja;;Plus;Plus;Plus;Avtalsstöd för uppdrag och nyttjanderätter;Juridiskt stöd avseende kostnadsställen vid hantering av avtal, prissättning, förnyelse av avtal för konsultuppdrag, nyttjande av annan praktikers verksamhet, lokal, utrustning m.m. (Lokalfrågor hanteras primärt av Fastighet.);Fast pris per timme- minimidebitering;;1500;;0;Mikael Holtzberg;;;;;
Affärsrådgivning;Juridik;Affärsjuridisk rådgivning ;Ja;;Plus;Plus;Plus;Allmän affärsjuridisk rådgivning;Allmän affärsjuridisk rådgivning avseende kostnadsställens affärsavtal, tvister m.m., inklusive instruktion och styrning av eventuella av Praktikertjänst anlitade externa konsulter.;Fast pris per timme- minimidebitering;;1500;;0;Mikael Holtzberg;;;;;
Aktieägarskydd;Juridik;Juridisk styrning och uppföljning;Ja;;Bas;Bas;Bas;Styrning och uppföljning av koncerninterna policys och avtal samt verksamhetsfrågor inom koncernen;Utformande av koncerninterna policys för juridik och aktieägarskydd samt styrning och uppföljning av koncerninterna juridiska verksamhets- och policyfrågor.  ;Fast avgift per ägare;;;;0;Mikael Holtzberg;;;;;
Aktieägarskydd;Juridik;Juridisk styrning och uppföljning;Ja;;Bas;Bas;Bas;Säkerställande av aktieägarvärden;Löpande (ibland reaktiv) riskhantering och säkerställande av aktieägarvärden inom koncernen ur ett juridiskt perspektiv i händelse av t.ex. lag- eller avtalsbrott, tvister, domstolsprocesser, krav samt angrepp på koncernens tillgångar och värden.;Fast avgift per ägare;;;;0;Mikael Holtzberg;;;;;
Aktieägarskydd;Juridik;Juridisk styrning och uppföljning;Ja;;Bas;Bas;Bas;Informations-, patientdata- och personuppgiftsjuridik;Hantering av svårare juridiska frågeställningar och regulatoriska frågor kring informationssäkerhet, informationshantering inom vården och personuppgiftsbehandling etc. som inte kan hanteras av övriga staber inom kvalitets- och informationssäkerhetsarbetet.;Fast avgift per ägare;;;;0;Mikael Holtzberg;;;;;
Aktieägarskydd;Juridik;Ansvarskommitté;Ja;;Bas;Bas;Bas;;Riktlinjer och arbetsordning för intern Ansvarskommitté i styrelsen. Stöd i Ansvarskommitténs prövningar av juridiska frågor.;Fast avgift per ägare;;;;0;Mikael Holtzberg;;;;;
Aktieägarskydd;Juridik;Aktieägaravtal;Ja;;Bas;Bas;Bas;;Stöd i juridiska frågor kring utveckling och efterlevnad av aktieägaravtal och Praktikertjänst affärskoncept.;Fast avgift per ägare;;;;0;Mikael Holtzberg;;;;;
Företagsgemensamt;Juridik;Koncernjuridik;Ja;;Bas;Bas;Bas;;Hantering av mer komplexa bolagsjuridiska och aktieägarfrågor på koncernnivå, inklusive biträde vid bolagstämmor etc. (bolagsadministration etc. ligger inom Ekonomi & Skatt.);Fast pris per månad;;;;0;Mikael Holtzberg;;;;;
Företagsgemensamt;Juridik;Proffesionsjuridik;Ja;;Bas;Bas;Bas;;Stöd och rådgivning i svårare verksamhetsspecifika juridiska frågeställningar som inte kan hanteras inom professionsansvaret eller respektive specialist/stab-funktion;Fast pris per månad;;;;0;Mikael Holtzberg;;;;;
Företagsgemensamt;Koncernekonomi;Koncernrapportering;Ja;;Bas;Bas;Bas;VD och styrelserapport;Ta fram månatlig rapport;Fast pris per månad;;;;0;Thomas Hallgren;;;;;
Företagsgemensamt;Koncernekonomi;Koncernrapportering;Ja;;Bas;Bas;Bas;Tertialbokslut;Ta fram rapport för såväl finansiellt utfall som för hur verksamheten utvecklas jämfört med fastställda Affärsplan;Fast pris per månad;;;;0;Thomas Hallgren;;;;;
Företagsgemensamt;Koncernekonomi;Koncernrapportering;Ja;;Bas;Bas;Bas;Årsbokslut;Ta fram rapport för såväl finansiellt utfall som för hur verksamheten utvecklas jämfört med fastställd Affärsplan;Fast pris per månad;;;;0;Thomas Hallgren;;;;;
Företagsgemensamt;Koncernekonomi;Business Controll;;;Bas;Bas;Bas;Affärsområdesrapport;Specifik rapportering utifrån AO:s behov, tas fram av resp controller;Fast pris per månad;;;;0;Kajsa Värna;;;;;
Företagsgemensamt;Koncernekonomi;Business Controll;;;Bas;Bas;Bas;Månadsrapport HKs KPIer;För återföring till tjänsteägare och KL;Fast pris per månad;;;;0;Kajsa Värna;;;;;
Företagsgemensamt;Koncernekonomi;Likviditetsplanering och kapitalförvaltning;Ja;;Bas;Bas;Bas;Likviditetsplanering och placering;Placering av tillgänliga likvida medel till högsta avkastning, givet placeringspolicyn;Finansiell finansiering;;;;0;Michael Craas;;;;;
Företagsgemensamt;Koncernekonomi;Likviditetsplanering och kapitalförvaltning;Ja;;Bas;Bas;Bas;Långsiktig kapitalförvaltning;Placering av tillgänliga likvida medel till högsta avkastning, givet placeringspolicyn;Finansiell finansiering;;;;0;Fredrik Ahlström;;;;;
Företagsgemensamt;Koncernekonomi;Likviditetsplanering och kapitalförvaltning;Ja;;Bas;Bas;Bas;Förvaltning pensionskapital;Förvaltning av kapital för ägarnas pension i Pensionsstiftelsen;Finansiell finansiering;;;;0;Fredrik Ahlström;;;;;
Företagsgemensamt;Koncernekonomi;Complience;Ja;;Bas;Bas;Bas;Hantera interna och externa regelverk;Framtagande och efterlevande av koncernövergripande E/F-policies samt bevaka förändringar i och efterlevnad av externa regelverk för finansiell verksamhet;Fast pris per månad;;;;0;Michael Craas;;;;;
Företagsgemensamt;Koncernekonomi;Internbokslut/aktievärdering PTJ aktien;Ja;;Bas;Bas;Bas;;Enligt faställda principer;Fast pris per månad;;;;0;Erik Grehn;;;;;
Företagsgemensamt;Koncernekonomi;Koncenens skattefrågor ;Ja;;Bas;Bas;Bas;Hantera 3:12 frågor;Bevakning, analys, hantering av förndringar inom 3:12 reglerna;Fast pris per månad;;;;0;;;;;;
Företagsgemensamt;Koncernekonomi;Koncenens skattefrågor ;Ja;;Bas;Bas;Bas;Hantera koncernens skattefrågor;Bevakning av nyheter. Hantera Skatterevisioner och driva skatteprocesserprocesser.;Fast pris per månad;;;;0;Erik Grehn;;;;;
;Praktikertservice;Koncenens skattefrågor ;Ja;;Bas;Bas;Bas;Hantera skattefrågor relaterat till praktiker; Stödja praktiker i skattefrågor i deras egenskap som ägare och praktikansvariga.;Fast pris per månad;;;;0;;;;;;
Företagsgemensamt;Koncernekonomi;Beräkning av pensionsskuld;Ja;;Bas;Bas;Bas;Analys och beräkning av åtaganden för ägarpensioner. ;Beräkning av pensionsskuld för säkerställande av framtida åtagande av utbetalningar och analys av konsolidering;Fast pris per månad;;;;0;Erik Grehn;;;;;
Företagsgemensamt;Kontorssupport;Växel och reception;;;Bas;Bas;Bas;;Bemannad växel och reception för besök och samtal till HK;Fast pris per månad;;;;0;Eric Lindström;;;;;
Företagsgemensamt;Kontorssupport;Kontorsservice;;;Bas;Bas;Bas;;Service och support till avdelningar/funktioner inom HK;Fast pris per månad;;;;0;Göran Flood;;;;;
Företagsgemensamt;Kvalitet&Miljö;Kvalitetsbokslut;;;Bas;Bas;Bas;;Bearbeta analysunderlag från kval-reg och samanställa ett centralt kvalitetsbokslut;Fast pris per månad;;;;0;Gunnar Ahlberg;;;;;
Företagsgemensamt;Kvalitet&Miljö;Forsknings- och utvecklingsfrågor;;;Bas;Bas;Bas;;Tillhandahålla info om forskningsbidrag, forskningsområdet, fond, samarbete t ex läkemedelsbolag, Universitet;Fast pris per månad;;;;0;Gunnar Ahlberg;;;;;
Affärsrådgivning;Kvalitet&Miljö;Patientnöjdhet;;;Plus;Plus;Plus;;Stöd till enheter i kundnöjdhetsfrämjande insatser (tex patientenkäter, servicehöjande insatser etc);Fast pris per timme;;;;0;Gunnar Ahlberg;;;;;
Affärsrådgivning;Kvalitet&Miljö;ISO-certifiering;;;Plus;Plus;Plus;;Stöd till enheter avseende certifiering inom ISO 14001, 9001, 45000 etc ;Fast pris per timme;;;;0;Gunnar Ahlberg;;;;;
Aktieägarskydd;Kvalitet&Miljö;Koncernövergripande kvalitetslediningsarbete;;;Bas;Bas;Bas;;Utveckla och förvalta ett PTJ övergripande  KLS enligt SOSFS 2011:9 samt stöd för att säkerställa att det implementeras i nya och befintliga verksamheter;Fast avgift per ägare;;;;0;Gunnar Ahlberg;;;;;
Aktieägarskydd;Kvalitet&Miljö;Koncernövergripande arbetsmiljöarbete;;;Bas;Bas;Bas;;Utveckla och förvalta ett PTJ övergripande  arbete för AFS systematiskt miljöarbete enligt AFS 2001:5 samt  stöd för att säkerställa att det implementeras i nya och befintliga verksamheter;Fast avgift per ägare;;;;0;Gunnar Ahlberg;;;;;
Aktieägarskydd;Kvalitet&Miljö;Intern revision - Kvalitetsdiplomering;;;Bas;Bas;Bas;;Genomgång av Kvalitetsledningssystem hos praktiker och säkerställa innehållet, kvalitetssäkra arbetet och utfärda diplom;Fast avgift per ägare;;;;0;Gunnar Ahlberg;;;;;
Aktieägarskydd;Kvalitet&Miljö;Intern revision - Kvalitetsdialog;;;Bas;Bas;Bas;;Besök i verksamheterna med syfte att säkerställa uppfyllnad av lägstanivå inom kvalitet, miljö, arbetsmiljö, strålskydd och patientsäkerhet (var 3:e år för alla 2100 verksamheter);Fast avgift per ägare;;;;0;Gunnar Ahlberg;;;;;
Aktieägarskydd;Kvalitet&Miljö;Kvalitetsrevision;;;Bas;Bas;Bas;;Stöd till enheter inför externa inspektioner/revisioner med hantering av frågor som följer av dessa (tex skriva svar, möten med myndigheter, legala frågor etc) inom områden som kvalitet, miljö, arbetsmiljö, strålskydd, patientsäkerhet, medicinska frågeställningar;Fast avgift per ägare;;;;0;Gunnar Ahlberg;;;;;
Aktieägarskydd;Kvalitet&Miljö;Miljösanering;;;Bas;Bas;Bas;;Miljösanering, avsättning till framtida sanering, inför nedläggning, överlåtelse, eget utköp (gäller TV);Fast avgift per ägare;;;;0;Gunnar Ahlberg;;;;;
Aktieägarskydd;Kvalitet&Miljö;Avikelsehantering ;;;Bas;Bas;Bas;;Hantering av händelser (avvikelser, olyckor, tillbud, riskobservationer och förbättringsförslag) inom arbetsmiljö, miljö och strålskyddstöd vid framtagande av händelseanalyser samt kommunikation med myndigheter;Fast avgift per ägare;;;;0;Gunnar Ahlberg;;;;;
Aktieägarskydd;Kvalitet&Miljö;Reklamationshantering;;;Bas;Bas;Bas;;Praktikertjänst Reklamationsnämnd;Fast avgift per ägare;;;;0;Gunnar Ahlberg;;;;;
Aktieägarskydd;Kvalitet&Miljö;Patientsäkerhet ;;;Bas;Bas;Bas;;Stöd vid framtagande av händelseanalyser samt kommunikation med myndigheter och övriga instanser( IVO, SSM, LV, SoS, patientnämnder och försäkringsbolag mfl) i samband med konstaterade incidenter;Fast avgift per ägare;;;;0;Gunnar Ahlberg;;;;;
Företagsgemensamt;Ledning och Styrning;Koncernstyrelse;;;Bas;Bas;Bas;Bolagstämma;Förbereda och genomföra bolagsstämma inkl stämmomiddag;Finansiell finansiering;;;;0;Urban Englund;;;;;
Företagsgemensamt;Ledning och Styrning;Koncernstyrelse;;;Bas;Bas;Bas;Styrelse;Förbereda och genomföra styrelsemöten;Finansiell finansiering;;;;0;Urban Englund;;;;;
Företagsgemensamt;Ledning och Styrning;Företagsledning;;;Bas;Bas;Bas;VD;Ansvarar för moderbolagets och koncernens löpande förvaltning ;Fast pris per månad;;;;0;Johan Fredriksson;;;;;
Företagsgemensamt;Ledning och Styrning;Företagsledning;;;Bas;Bas;Bas;Koncernledning;Förbereda och genomföra KL-möten;Fast pris per månad;;;;0;Johan Fredriksson;;;;;
Företagsgemensamt;Ledning och Styrning;Företagsledning;;;Bas;Bas;Bas;Strategi PTJ-koncernen;Utarbeta strategiplaner samt revidera dessa samt säkerställa implementering;Fast pris per månad;;;;0;Johan Fredriksson;;;;;
Företagsgemensamt;Ledning och Styrning;Projektkontor;;;Bas;Bas;Bas;;Skapa underlag för beslut i AP/Budget om projekt, månatlig uppföljning till VD/KL av projektens framdrift samt säkerställa kvalitet i ledning av projektportföljen.;Fast pris per månad;;;;0;Inger Olsson;;;;;
Affärsrådgivning;Lönsamhet;Analys avtalsvillkor;;;Bas;Bas;Plus;;Bevakning av ändrade avtalsvillkor, prismodeller etc inom vårdvalsverksamheter. Analys av lönsamhetspåverkan och metoder för att maximera lönsamheten givet dessa villkor ;Rörligt pris % på omsättning;;;;0;;;;;;
Affärsrådgivning;Lönsamhet;Effektivisering arbetsprocesser/flödesoptimering ;;;Plus;Plus;Plus;;Analys och implementeringsstöd för effektiva processer  i syfte att öka kvalitet och sänka kostnader;Fast pris per timme  med minimidebitering;;;;0;;;;;;
Affärsrådgivning;Lönsamhet;Lönsamhetsanalys;;;Plus;Plus;Plus;;Stöd till enheter med maximering av prissättning utan att tappa patienter genom konkurrentanalys, prisstrategi etc ;Fast pris per timme;;;;0;;;;;;
Affärsrådgivning;Strategi och affärplanering;ADDERA;;;;;Plus;;Verksamhetsutvecklingsprogram med ledarskapsutbildning, flödesoptipmering och processer för att skapa ett effektivt arbetssätt;Fast pris per månad;;;;0;Marianne Segers;;;;;
Affärsrådgivning;Strategi och affärplanering;ADDERA påbyggnad;;;;;Plus;;Löpande rådgivning/coachning;Fast pris per månad;;;;0;Marianne Segers;;;;;
Aktieägarskydd;Lönsamhet;Löpande verksamhetsuppföljning;;;Bas;Bas;Bas;;"Leda och samordna arbetet för samtliga driftenheter genom en löpande kontroll över deras ""total performance"" (tillväxt, lönsamhet, klinisk kvalitet, HR mm) med syfte att tidigt upptäcka enheter som utgör en risk för företaget i stort";Fast avgift per ägare;;;;0;Kajsa Värna;;;;;
Aktieägarskydd;Lönsamhet;Underskottshantering;;;Bas;Bas;Bas;;Kontinuerlig uppföljning och analys samt administration vid underskott i verksamhet;Fast avgift per ägare;;;;0;Kajsa Värna;;;;;
Aktieägarskydd;Marknad och kommunikation;Mediaträning;;;Bas;Bas;Bas;;Utbildning av chefer och medarbetare i hur man skall bemöta media och hantera intervjusituationer etc;Fast avgift per ägare;;;;0;Erik Magni;;;;;
Aktieägarskydd;Marknad och kommunikation;Mediarisker och kriser;;;Bas;Bas;Bas;;Hantering av konstaterade mediarisker/kriser;Fast avgift per ägare;;;;0;Erik Magni;;;;;
Företagsgemensamt;Marknad och kommunikation;Koncernkommunikation extern;;;Bas;Bas;Bas;Samhällskontakter;Politiker kontakter, ärendehantering, framtagande av budskap och material, lobbing, omvärldsbevakning, remisshantering;Fast pris per månad;;;;0;Sofia Myrevik;;;;;
Företagsgemensamt;Marknad och kommunikation;Koncernkommunikation extern;;;Bas;Bas;Bas;Press och PR;Pressjour, mediaträning, mediabevakning, placering av positiva nyheter, talskrivare;Fast pris per månad;;;;0;Sofia Myrevik;;;;;
Företagsgemensamt;Marknad och kommunikation;Koncernkommunikation extern;;;Bas;Bas;Bas;Marknadsföring;Grafisk profil, varumarkesplattform, framtagande av folder el liknande vid startup utskick, externa webbar, sociala medier, annonser och kampanjer, sponsring, CSR;Fast pris per månad;;;;0;Sofia Myrevik;;;;;
Företagsgemensamt;Marknad och kommunikation;Koncernkommunikation extern;;;Bas;Bas;Bas;Employerbranding;Annonser, rekryteringskvällar, deltar på mässor;Fast pris per månad;;;;0;Sofia Myrevik;;;;;
Företagsgemensamt;Marknad och kommunikation;Koncernkommunikation extern;;;Bas;Bas;Bas;Varumärke;Marknadsaktiviteter, VD-profilering externt;Fast pris per månad;;;;0;Sofia Myrevik;;;;;
Företagsgemensamt;Marknad och kommunikation;Koncernkommunikation intern;;;Bas;Bas;Bas;Internkommunikation;Interna projekt, medarbetarinfo, kurskatalog, VD brev till ledare;Fast pris per månad;;;;0;Stefan Hladlisch;;;;;
Företagsgemensamt;Marknad och kommunikation;Koncernkommunikation intern;;;Bas;Bas;Bas;Ägarkommunikation;VD rapport till styrelsen, Ägarmöten, årsredovisning, tertialkommunikation, nyhetsbrev;Fast pris per månad;;;;0;Stefan Hladlisch;;;;;
Praktikerservice;Marknad och kommunikation;Framtagande av internt tryckt material;;;Bas;Bas;Bas;;;Fast pris per månad;;;;0;Stefan Hladlisch;;;;;
Praktikerservice;Marknad och kommunikation;Rådgivning intern kommunikation;;;Bas;Bas;Bas;;;Fast pris per månad;;;;0;Stefan Hladlisch;;;;;
Praktikerservice;Marknadsföring;Annonsering;;;Plus;Plus;Plus;Marknadsföring av verskamheten via annnonsering ;;Fast pris per timme;;;;0;Sofia Myrevik;;;;;
Praktikerservice;Marknadsföring;Framtagande av material vid startup utskick;;;Bas;Bas;Bas;;;Fast pris per styck  ;;;;0;Sofia Myrevik;;;;;
Praktikerservice;Marknadsföring;Genomförande av kampanjer i Sociala medier;;;Plus;Plus;Plus;;;Fast pris per timme;;;;0;Sofia Myrevik;;;;;
Praktikerservice;Marknadsföring;Patient TV;;;Plus;Plus;Plus;Hjälp med framtagande av informationsslinga för patient TV på mottagningen;;Fast pris per timme;;;;0;Sofia Myrevik;;;;;
Praktikerservice;Marknadsföring;Rådgivning CSR;;;Plus;Plus;Plus;;;Fast pris per timme;;;;0;Sofia Myrevik;;;;;
Praktikerservice;Marknadsföring;Rådgivning Sponsring;;;Plus;Plus;Plus;;;Fast pris per timme;;;;0;Sofia Myrevik;;;;;
Praktikerservice;Marknadsföring;Uppstart Sociala medier;;;Plus;Plus;Plus;;;Fast pris per timme;;;;0;Sofia Myrevik;;;;;
Praktikerservice;Marknadsföring;Uppstart webplats;;;Plus;Plus;Plus;;;Fast pris per timme;;;;0;Sofia Myrevik;;;;;
Praktikerservice;Marknadsföring;Utbildning Webb;;;Plus;Plus;Plus;;;Fast pris per deltagare;;;;0;Sofia Myrevik;;;;;
Aktieägarskydd;Omvärld;Omvärldsbevakning;;;Bas;Bas;Bas;;Bevakning nya lagar och krav, nationella arbeten på SKL och Almega ;Fast avgift per ägare;;;;0;Johan Fredriksson;;;;;
Aktieägarskydd;Omvärld;Internrevision - Ekonomidialog;Ja;;Bas;Bas;Bas;;Förberedelser, urval, besök, rapportering, uppföjning av efterlevnad av redovisningsregler och policies;Fast avgift per ägare;;;;0;Birgitta Jacobsson;;;;;
Aktieägarskydd;Omvärld;Extern revision - Redovisning och förvaltning;Ja;;Bas;Bas;Bas;;Av externa revisorer (PwC) utförda besök i verksamheten som del av den totala externa revisionen av koncernen;Fast avgift per ägare;;;;0;Birgitta Jacobsson;;;;;
Aktieägarskydd;Omvärld;Remisssvar;;;Bas;Bas;Bas;;Ge expertutlåtande i svar på remitterade ärenden från statens offentliga utredninga, Sv Näringsliv och EU;Fast avgift per ägare;;;;0;Johan Fredriksson;;;;;
Praktikerservice;Press och PR;Krishantering;;;Bas;Bas;Bas;;;Fast pris per månad;;;;0;Erik Magni;;;;;
Praktikerservice;Press och PR;Medieträning  - enskild praktik;;;Bas;Bas;Bas;;;Fast pris per månad;;;;0;Erik Magni;;;;;
Praktikerservice;Press och PR;Praktikunik mediabevakning;;;Bas;Bas;Bas;;;Fast pris per månad;;;;0;Erik Magni;;;;;
Praktikerservice;Press och PR;Pressjour;;;Bas;Bas;Bas;;;Fast pris per månad;;;;0;Erik Magni;;;;;
Praktikerservice;Press och PR;Support Proaktiv PR;;;Bas;Bas;Bas;;;Fast pris per månad;;;;0;Erik Magni;;;;;
Praktikerservice;Press och PR;Support Reaktiv PR;;;Bas;Bas;Bas;;;Fast pris per månad;;;;0;Erik Magni;;;;;
Aktieägarskydd;Rapportering myndigheter;Lönekartläggning;Ja;;Bas;Bas;Bas;;Tar fram och sammanställer det material som efterfrågas av DO;Fast avgift per ägare;;;;0;Klas Wahlström;;;;;
Aktieägarskydd;Rapportering myndigheter;Kvalitetsregister;;;Bas;Bas;Bas;;Uppföljning av delatagande av kvalitetsregister samt faktisk kvalitet;Fast avgift per ägare;;;;0;Gunnar Ahlberg;;;;;
Aktieägarskydd;Rapportering myndigheter;Patientregister;;;Bas;Bas;Bas;;Uppföljningar av klagomål och anmälningar;Fast avgift per ägare;;;;0;Gunnar Ahlberg;;;;;
Aktieägarskydd;Rapportering myndigheter;Lagstadgad rapportering ;;;Bas;Bas;Bas;;Att tillhandahålla centrala lagstadgade rapportert ex central strålsäkerhetsberättelse eller central patientsäkerhetsberättelse;Fast avgift per ägare;;;;0;Gunnar Ahlberg;;;;;
Aktieägarskydd;Rapportering myndigheter;Kommunikation vid ärendehantering;;;Bas;Bas;Bas;;Kommunikation mellan Ptj och myndigheter, juridiska processer om de blir skarpare;Fast avgift per ägare;;;;0;Mikael Holtzberg;;;;;
Praktikerservice;Samhällskontakter;Framtagning av budskap och material;;;Bas;Bas;Bas;;;Fast pris per månad;;;;0;Erik Magni;;;;;
Praktikerservice;Samhällskontakter;Lobbying;;;Bas;Bas;Bas;;;Fast pris per månad;;;;0;Johan Stuart;;;;;
Praktikerservice;Samhällskontakter;Omvärldsbevakning;;;Bas;Bas;Bas;;;Fast pris per månad;;;;0;Johan Stuart;;;;;
Praktikerservice;Samhällskontakter;Support Issueshantering;;;Bas;Bas;Bas;;;Fast pris per månad;;;;0;Johan Stuart;;;;;
